koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
CONFIRMED,1.0000,0,0,0,3.17750,7.5060e+02,2.47,777.0,86.22,49.20,5501.00,4.462,0.9180,15.018
CONFIRMED,1.0000,0,0,0,3.98400,1.4424e+03,3.68,613.0,33.43,62.60,5239.00,4.523,0.8260,15.219
CANDIDATE,0.9980,0,0,0,8.22840,2.0715e+04,10.59,188.0,0.29,271.80,4245.00,4.627,0.6570,15.172
CONFIRMED,1.0000,0,0,0,2.72970,1.1236e+03,2.56,753.0,76.06,53.00,5103.00,4.562,0.7870,15.599
CONFIRMED,1.0000,0,0,0,4.78650,1.5726e+03,3.03,445.0,9.29,45.50,5103.00,4.562,0.7870,15.599
CONFIRMED,1.0000,0,0,0,2.26410,8.1240e+02,2.32,568.0,24.60,22.60,5103.00,4.562,0.7870,15.599
CONFIRMED,0.9960,0,0,0,4.68500,1.6260e+03,1.94,233.0,0.69,27.40,3593.00,4.757,0.4910,15.849
CONFIRMED,0.9740,0,0,0,5.02640,2.2839e+04,11.38,453.0,9.93,907.80,5522.00,4.586,0.7470,15.196
CANDIDATE,0.9940,0,0,0,7.30510,1.5179e+04,14.21,552.0,21.87,561.10,6122.00,4.487,0.9640,15.344
CONFIRMED,1.0000,0,0,0,2.52420,9.0810e+02,2.47,850.0,123.03,59.40,5237.00,4.572,0.8260,15.086
CONFIRMED,0.9590,0,0,0,11.33640,1.6462e+03,8.20,669.0,47.40,355.70,5626.00,3.907,2.0570,12.654
CONFIRMED,0.9940,0,0,0,1.61100,4.2120e+02,2.28,559.0,23.14,10.70,5237.00,4.572,0.8260,15.086
CANDIDATE,0.0000,0,0,0,2.59400,5.7329e+03,19.02,733.0,68.29,184.10,5697.00,4.460,0.9030,15.060
FALSE POSITIVE,0.0000,0,1,1,2.74300,1.1598e+03,2.66,667.0,46.94,51.70,4947.00,4.516,0.8020,15.546
CONFIRMED,1.0000,0,0,0,1.81190,3.1580e+02,1.41,1160.0,427.17,30.70,5265.00,4.580,0.8100,15.001
FALSE POSITIVE,0.0000,0,1,0,3.11058,3.3004e+04,14.62,901.0,155.89,1630.40,5532.00,4.530,0.8060,15.330
CONFIRMED,1.0000,0,0,0,2.18140,7.8120e+02,2.62,1221.0,526.23,64.80,5895.00,4.503,0.9400,15.533
CONFIRMED,1.0000,0,0,0,2.72510,1.1540e+03,3.11,1038.0,274.84,86.10,5527.00,4.484,0.9270,15.604
CONFIRMED,1.0000,0,0,0,4.55600,8.4090e+02,2.69,622.0,35.44,37.80,5527.00,4.484,0.9270,15.604
CONFIRMED,1.0000,0,0,0,1.65850,5.6910e+02,2.67,791.0,92.46,21.10,5527.00,4.484,0.9270,15.604
CANDIDATE,1.0000,0,0,0,8.14050,7.4305e+03,8.98,366.0,4.25,223.50,5453.00,4.342,1.0620,15.085
CONFIRMED,0.9870,0,0,0,15.28400,1.1417e+03,7.78,426.0,7.80,139.30,5626.00,3.907,2.0570,12.654
FALSE POSITIVE,0.0000,0,1,1,1.88320,1.0143e+03,4.37,1355.0,797.10,58.30,6126.00,4.458,1.0210,15.618
CONFIRMED,1.0000,0,0,0,3.97830,1.8435e+03,3.91,562.0,23.54,88.00,5427.00,4.463,0.9290,15.158
CONFIRMED,0.9830,0,0,0,6.39940,3.6443e+03,5.51,450.0,9.67,155.50,5427.00,4.463,0.9290,15.158
CONFIRMED,1.0000,0,0,0,2.90030,7.0230e+02,2.43,926.0,173.74,59.30,5427.00,4.463,0.9290,15.158
CONFIRMED,1.0000,0,0,0,1.88760,3.9160e+02,1.86,1253.0,583.01,41.40,5427.00,4.463,0.9290,15.158
CONFIRMED,1.0000,0,0,0,4.10720,1.7725e+03,3.07,521.0,17.48,62.40,5067.00,4.585,0.7500,15.859
CONFIRMED,1.0000,0,0,0,2.06420,4.8820e+02,1.69,998.0,234.93,30.50,5103.00,4.562,0.7870,15.599
CONFIRMED,1.0000,0,0,0,2.32540,9.6140e+02,1.73,585.0,27.72,62.80,4072.00,4.696,0.5700,15.036
CONFIRMED,1.0000,0,0,0,2.86060,8.8130e+02,1.65,509.0,15.90,51.80,4072.00,4.696,0.5700,15.036
CANDIDATE,0.0000,0,0,0,2.48450,4.2450e+04,22.94,723.0,64.64,307.50,5875.00,4.572,0.8090,15.215
FALSE POSITIVE,0.5730,0,1,0,2.51700,2.1850e+02,2.41,742.0,71.57,18.50,5670.00,4.206,1.2640,12.003
CONFIRMED,1.0000,0,0,0,4.40560,7.4259e+03,8.46,495.0,14.22,247.90,5149.00,4.447,0.9300,15.262
CONFIRMED,1.0000,0,0,0,2.90040,4.5070e+02,1.97,845.0,120.48,29.20,5149.00,4.447,0.9300,15.262
